,identifier,pollster:id,link,start_date,end_date,published_date,population,sponsor,method,n,area,done_by_x,notes_x,middle_date,,question:identifier,poll:identifier,choice:id,topic_id,value_x,done_by_y,notes_y,start_date_date,end_date_date,middle_date_date_x,middle_date_date_y,value_y
0,2021-01,Median,https://www.median.eu/cs/wp-content/uploads/2021/02/Volby_2021_01_v03_FINAL.pdf,2021-01-01,2021-01-29,2021-02-02,,,,1062,ČR,Michal Škop,,2021-01-15,,model,2021-01,ANO,model psp,0.265,Michal Škop,,2021-01-01,2021-01-29,2021-01-15,2021-01-15,0.25031508736946356
1,2021-01,Median,https://www.median.eu/cs/wp-content/uploads/2021/02/Volby_2021_01_v03_FINAL.pdf,2021-01-01,2021-01-29,2021-02-02,,,,1062,ČR,Michal Škop,,2021-01-15,,model,2021-01,Piráti+STAN,model psp,0.25,Michal Škop,,2021-01-01,2021-01-29,2021-01-15,2021-01-15,0.2556473193652814
2,2021-01,Median,https://www.median.eu/cs/wp-content/uploads/2021/02/Volby_2021_01_v03_FINAL.pdf,2021-01-01,2021-01-29,2021-02-02,,,,1062,ČR,Michal Škop,,2021-01-15,,model,2021-01,SPOLU,model psp,0.185,Michal Škop,,2021-01-01,2021-01-29,2021-01-15,2021-01-15,0.1906020810389642
3,2021-01,Median,https://www.median.eu/cs/wp-content/uploads/2021/02/Volby_2021_01_v03_FINAL.pdf,2021-01-01,2021-01-29,2021-02-02,,,,1062,ČR,Michal Škop,,2021-01-15,,model,2021-01,SPD,model psp,0.09,Michal Škop,,2021-01-01,2021-01-29,2021-01-15,2021-01-15,0.10434440380981672
4,2021-01,Median,https://www.median.eu/cs/wp-content/uploads/2021/02/Volby_2021_01_v03_FINAL.pdf,2021-01-01,2021-01-29,2021-02-02,,,,1062,ČR,Michal Škop,,2021-01-15,,model,2021-01,ČSSD,model psp,0.07,Michal Škop,,2021-01-01,2021-01-29,2021-01-15,2021-01-15,0.05165734585646626
5,2021-01,Median,https://www.median.eu/cs/wp-content/uploads/2021/02/Volby_2021_01_v03_FINAL.pdf,2021-01-01,2021-01-29,2021-02-02,,,,1062,ČR,Michal Škop,,2021-01-15,,model,2021-01,KSČM,model psp,0.07,Michal Škop,,2021-01-01,2021-01-29,2021-01-15,2021-01-15,0.05371110376243416
6,2021-01,Median,https://www.median.eu/cs/wp-content/uploads/2021/02/Volby_2021_01_v03_FINAL.pdf,2021-01-01,2021-01-29,2021-02-02,,,,1062,ČR,Michal Škop,,2021-01-15,,model,2021-01,Trikolóra,model psp,0.02,Michal Škop,,2021-01-01,2021-01-29,2021-01-15,2021-01-15,0.029365125221932034
7,2021-01,Median,https://www.median.eu/cs/wp-content/uploads/2021/02/Volby_2021_01_v03_FINAL.pdf,2021-01-01,2021-01-29,2021-02-02,,,,1062,ČR,Michal Škop,,2021-01-15,,model,2021-01,Zelení,model psp,0.015,Michal Škop,,2021-01-01,2021-01-29,2021-01-15,2021-01-15,0.014001221701192229
8,2021-01,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,,2021-01-27,,model,2021-01,ANO,model psp,0.26,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.2482370720253085
9,2021-01,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,,2021-01-27,,model,2021-01,ODS,model psp,0.105,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.10181570227520645
10,2021-01,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,,2021-01-27,,model,2021-01,Piráti,model psp,0.21,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.199123010362841
11,2021-01,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,,2021-01-27,,model,2021-01,KSČM,model psp,0.05,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.05333420703997098
12,2021-01,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,,2021-01-27,,model,2021-01,SPD,model psp,0.095,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.10547850213502026
13,2021-01,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,,2021-01-27,,model,2021-01,ČSSD,model psp,0.035,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.05028446467175001
14,2021-01,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,,2021-01-27,,model,2021-01,KDU-ČSL,model psp,0.045,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.04224957786619865
15,2021-01,Kantar,https://ct24.ceskatelevize.cz/sites/default/files/2536514-trendy_ceska_2021_vlna66_volebni_model.pdf,2021-01-18,2021-02-05,2021-02-14,,ČT,,1200,ČR,Michal Škop,,2021-01-27,,model,2021-01,STAN,model psp,0.095,Michal Škop,,2021-01-18,2021-02-05,2021-01-27,2021-01-27,0.11304554869412994
