party_code,gain,needs,party_code_2017,name,color
svobodni,0.007724674010285068,0.05,svobodni,Svobodní,#009982
zeleni,0.01400914417578205,0.05,zeleni,Zelení,#06b15d
trikolora,0.027821675489891933,0.05,svobodni,Trikolóra,#3243d2
top-09,0.047861595554193455,0.05,top-09,TOP 09,#723769
stan,0.050287987379150245,0.05,stan,STAN,#5d8c00
kdu-csl,0.05317913716034563,0.05,kdu-csl,KDU-ČSL,#e6ac21
spd,0.06357500175362671,0.05,spd,SPD,#ea2329
kscm,0.06757696410987017,0.05,kscm,KSČM,#8c0000
cssd,0.07316797739310914,0.05,cssd,ČSSD,#F07D00
ods,0.1251158377271609,0.05,ods,ODS,#004494
pirati,0.13662675610150982,0.05,pirati,Piráti,#000000
ano,0.3258960721656659,0.05,ano,ANO,#261060
