,trikolora+svobodni+soukromnici,zeleni,prisaha,cssd,kscm,spd,spolu,ano,pirati+stan
0,0.0,0.0,0.0,11.0,16.0,23.0,43.0,52.0,55.0
1,0.0,0.0,0.0,0.0,0.0,37.0,60.0,39.0,64.0
2,0.0,0.0,0.0,0.0,17.0,24.0,35.0,54.0,70.0
3,0.0,0.0,0.0,13.0,12.0,24.0,53.0,43.0,55.0
4,0.0,0.0,0.0,11.0,0.0,24.0,52.0,59.0,54.0
5,0.0,0.0,9.0,8.0,15.0,23.0,39.0,54.0,52.0
6,0.0,0.0,10.0,9.0,11.0,19.0,49.0,42.0,60.0
7,0.0,0.0,0.0,0.0,14.0,24.0,51.0,54.0,57.0
8,0.0,0.0,0.0,0.0,17.0,20.0,42.0,56.0,65.0
9,0.0,0.0,0.0,0.0,16.0,21.0,39.0,54.0,70.0
10,0.0,0.0,0.0,0.0,15.0,19.0,45.0,49.0,72.0
11,0.0,0.0,0.0,0.0,18.0,34.0,45.0,46.0,57.0
12,0.0,0.0,11.0,12.0,0.0,17.0,40.0,54.0,66.0
13,0.0,0.0,0.0,12.0,0.0,24.0,50.0,54.0,60.0
14,0.0,0.0,0.0,14.0,0.0,26.0,43.0,62.0,55.0
15,0.0,0.0,0.0,12.0,0.0,27.0,50.0,55.0,56.0
16,0.0,0.0,0.0,0.0,14.0,32.0,52.0,44.0,58.0
17,0.0,0.0,0.0,0.0,13.0,30.0,45.0,45.0,67.0
18,0.0,0.0,0.0,0.0,14.0,19.0,46.0,48.0,73.0
19,0.0,0.0,0.0,0.0,0.0,27.0,43.0,57.0,73.0
20,0.0,0.0,0.0,12.0,11.0,23.0,42.0,49.0,63.0
21,0.0,0.0,18.0,0.0,0.0,19.0,39.0,65.0,59.0
22,0.0,0.0,0.0,0.0,0.0,30.0,53.0,52.0,65.0
23,0.0,0.0,0.0,0.0,0.0,29.0,48.0,48.0,75.0
24,0.0,0.0,0.0,0.0,19.0,23.0,34.0,57.0,67.0
25,0.0,0.0,0.0,0.0,0.0,36.0,43.0,56.0,65.0
26,0.0,0.0,0.0,17.0,0.0,22.0,39.0,55.0,67.0
27,0.0,0.0,0.0,0.0,15.0,18.0,55.0,55.0,57.0
28,0.0,0.0,0.0,0.0,18.0,27.0,46.0,48.0,61.0
29,0.0,0.0,0.0,0.0,0.0,26.0,50.0,53.0,71.0
30,0.0,0.0,0.0,9.0,14.0,26.0,43.0,54.0,54.0
31,0.0,0.0,0.0,0.0,13.0,29.0,37.0,57.0,64.0
32,0.0,0.0,0.0,11.0,13.0,29.0,46.0,48.0,53.0
33,0.0,0.0,0.0,0.0,0.0,35.0,55.0,47.0,63.0
34,0.0,0.0,0.0,0.0,0.0,30.0,45.0,60.0,65.0
35,0.0,0.0,0.0,14.0,15.0,24.0,44.0,44.0,59.0
36,0.0,0.0,0.0,0.0,0.0,34.0,50.0,52.0,64.0
37,0.0,0.0,0.0,12.0,24.0,13.0,47.0,46.0,58.0
38,0.0,0.0,0.0,0.0,0.0,30.0,55.0,48.0,67.0
39,0.0,0.0,0.0,0.0,14.0,28.0,37.0,63.0,58.0
40,0.0,0.0,0.0,0.0,14.0,31.0,44.0,51.0,60.0
41,0.0,0.0,14.0,0.0,12.0,20.0,45.0,52.0,57.0
42,0.0,0.0,0.0,14.0,19.0,25.0,36.0,42.0,64.0
43,0.0,0.0,0.0,10.0,10.0,25.0,33.0,60.0,62.0
44,0.0,0.0,0.0,0.0,17.0,33.0,43.0,49.0,58.0
45,0.0,0.0,0.0,0.0,15.0,29.0,46.0,53.0,57.0
46,0.0,0.0,0.0,0.0,10.0,25.0,44.0,45.0,76.0
47,0.0,0.0,0.0,14.0,20.0,19.0,45.0,50.0,52.0
48,0.0,0.0,0.0,11.0,10.0,25.0,41.0,53.0,60.0
49,0.0,0.0,0.0,0.0,0.0,29.0,46.0,56.0,69.0
50,0.0,0.0,10.0,8.0,10.0,26.0,44.0,50.0,52.0
51,0.0,0.0,0.0,13.0,17.0,22.0,47.0,52.0,49.0
52,0.0,0.0,13.0,13.0,0.0,26.0,40.0,54.0,54.0
53,10.0,0.0,10.0,12.0,0.0,20.0,37.0,57.0,54.0
54,0.0,0.0,0.0,12.0,0.0,24.0,45.0,47.0,72.0
55,0.0,0.0,13.0,0.0,0.0,31.0,42.0,47.0,67.0
56,0.0,0.0,0.0,16.0,10.0,22.0,45.0,55.0,52.0
57,0.0,0.0,15.0,0.0,0.0,27.0,47.0,53.0,58.0
58,0.0,0.0,9.0,0.0,12.0,13.0,43.0,55.0,68.0
59,0.0,0.0,0.0,0.0,15.0,18.0,45.0,54.0,68.0
60,0.0,0.0,0.0,0.0,14.0,19.0,50.0,49.0,68.0
61,0.0,0.0,0.0,12.0,10.0,22.0,45.0,50.0,61.0
62,0.0,0.0,0.0,0.0,19.0,26.0,49.0,58.0,48.0
63,0.0,0.0,0.0,0.0,13.0,27.0,45.0,54.0,61.0
64,0.0,0.0,0.0,13.0,0.0,28.0,43.0,59.0,57.0
65,0.0,0.0,0.0,0.0,0.0,22.0,55.0,52.0,71.0
66,0.0,0.0,0.0,0.0,13.0,31.0,45.0,40.0,71.0
67,0.0,0.0,0.0,0.0,0.0,25.0,52.0,50.0,73.0
68,0.0,0.0,10.0,11.0,9.0,28.0,45.0,39.0,58.0
69,0.0,0.0,9.0,11.0,20.0,19.0,37.0,41.0,63.0
70,0.0,0.0,0.0,12.0,20.0,30.0,47.0,38.0,53.0
71,0.0,0.0,0.0,15.0,0.0,30.0,45.0,48.0,62.0
72,0.0,0.0,0.0,0.0,20.0,24.0,38.0,51.0,67.0
73,0.0,0.0,0.0,0.0,14.0,33.0,47.0,55.0,51.0
74,0.0,0.0,9.0,10.0,0.0,23.0,36.0,59.0,63.0
75,0.0,0.0,0.0,13.0,19.0,18.0,45.0,47.0,58.0
76,0.0,0.0,15.0,10.0,14.0,22.0,42.0,48.0,49.0
77,0.0,0.0,0.0,12.0,11.0,31.0,45.0,52.0,49.0
78,0.0,0.0,10.0,0.0,15.0,18.0,52.0,55.0,50.0
79,0.0,0.0,10.0,9.0,13.0,23.0,36.0,38.0,71.0
80,0.0,0.0,0.0,12.0,0.0,30.0,44.0,49.0,65.0
81,0.0,0.0,0.0,0.0,0.0,30.0,52.0,48.0,70.0
82,0.0,0.0,0.0,0.0,10.0,28.0,39.0,59.0,64.0
83,0.0,0.0,0.0,0.0,16.0,27.0,45.0,44.0,68.0
84,0.0,0.0,0.0,0.0,14.0,27.0,47.0,39.0,73.0
85,0.0,0.0,0.0,0.0,0.0,31.0,41.0,52.0,76.0
86,0.0,0.0,0.0,0.0,15.0,14.0,45.0,52.0,74.0
87,0.0,0.0,0.0,0.0,15.0,24.0,53.0,43.0,65.0
88,0.0,0.0,0.0,13.0,12.0,22.0,46.0,54.0,53.0
89,0.0,0.0,0.0,14.0,11.0,25.0,41.0,53.0,56.0
90,0.0,0.0,0.0,0.0,17.0,25.0,46.0,46.0,66.0
91,0.0,0.0,0.0,0.0,0.0,28.0,41.0,64.0,67.0
92,15.0,0.0,0.0,0.0,0.0,20.0,44.0,54.0,67.0
93,0.0,0.0,12.0,0.0,12.0,25.0,43.0,44.0,64.0
94,0.0,0.0,0.0,0.0,12.0,29.0,45.0,52.0,62.0
95,0.0,0.0,0.0,0.0,12.0,26.0,47.0,55.0,60.0
96,0.0,0.0,0.0,10.0,11.0,22.0,42.0,43.0,72.0
97,0.0,0.0,0.0,0.0,17.0,23.0,50.0,53.0,57.0
98,0.0,0.0,0.0,0.0,0.0,24.0,62.0,54.0,60.0
99,0.0,0.0,0.0,11.0,16.0,26.0,42.0,49.0,56.0
